Step,Vehicle_ID,RSU_ID,Signal_Strength,Connection_Duration,Score
0,0,9335207337,0.0005204756807502917,inf,inf
1,0,1278964758,0.0005202752382184607,1112.58640005604,0.6022760963354287
1,1,9335207337,0.0004849735321363417,inf,inf
2,0,1278964758,0.0005196342002094168,595.7041811963174,0.34089251556517874
2,1,9335184616,0.00048381741873376743,934.7596552517363,0.47808830277282915
2,2,9335207337,0.00044858791557313247,inf,inf
3,0,1278964758,0.0005184619155899795,331.67867583003886,0.21238424034793132
3,1,9335184616,0.0004824372806510912,457.7378265106171,0.25742805853574624
3,2,149862084,0.0004481677889661516,937.4026919543295,0.43370983076488223
3,3,9335207337,9.240909472810415e-05,inf,inf
4,0,1278964758,0.00010336746602040184,235.95859702399449,0.17110438158254881
4,1,9335184616,0.0004808006482507601,299.2021417556272,0.1951027016979743
4,2,149862084,8.966060229917411e-05,521.3596175956601,0.24834265495842306
4,3,2512209858,9.27187436366516e-05,831.4681739570607,0.6148595031362738
4,4,9335207337,0.0008311858957591291,inf,inf
5,0,1278964758,0.00010287730847660063,185.54366887304653,0.1494782368984734
5,1,149860367,0.00047982230595319645,269.6469099615442,0.1998379880851134
5,2,10965467098,8.969757341396025e-05,350.238011217103,0.1713829834454978
5,3,2512209856,9.311585129767557e-05,414.8178499357481,0.3135345109647409
5,4,1272657712,0.0008323256579351533,606.6438968030304,0.5315697382607902
5,5,9335207337,0.0005538164391656728,inf,inf
6,0,1278964758,0.00010226842141822556,151.82799678363594,0.1260027884832337
6,1,149860367,0.0004811149339622727,525.5203334390427,0.3218732157784869
6,2,10965467098,8.980793075338168e-05,282.34780574464867,0.14039185666521098
6,3,2512209832,9.349860394340189e-05,319.32137150466036,0.27647541042179535
6,4,1272657712,0.0008346632361507653,326.2103237713167,0.30336399706574574
6,5,149609152,0.000555332683354165,802.2070720830034,0.46761082343290267
6,6,9335207337,0.00028296642058051573,inf,inf
7,0,1278964758,0.00010156935907872668,139.54574098400784,0.10539450271178863
7,1,149860367,9.615172957727391e-05,370.6719135215,0.251711890280609
7,2,10965467098,8.995327693984559e-05,234.07632355892517,0.1178628335390509
7,3,2512209832,9.38394129549212e-05,242.35803489521015,0.5823653931901366
7,4,1272657712,0.000837977878010815,238.50430833836418,0.23116830847090505
7,5,149609152,0.00011146175309572926,438.0185491461947,0.2694709053621892
7,6,149869198,0.00028260113929563704,1684.5933821895921,0.49362551072170574
7,7,9335207337,0.0007588775505428632,inf,inf
8,0,1278964758,0.00010084757748779525,141.33176377486834,0.09517166644088076
8,1,8293291747,9.684605225794926e-05,363.67498863299033,0.3767603383538522
8,2,149687150,9.010289584834887e-05,183.563465217768,0.0944610045063341
8,3,9335207317,9.422340094198568e-05,197.18999892994245,0.22193987666686107
8,4,1272657712,0.0008429296354546399,157.7013536340964,0.16299412021125714
8,5,149609152,0.00011189952233257894,296.3744961128991,0.1918873008883669
8,6,149869198,0.000282280777456727,952.2282086762275,0.29319739668217093
8,7,149609139,0.0007575563256396874,870.3342941868387,0.6691071459656744
8,8,9335207337,9.305445651586113e-05,inf,inf
9,0,149831304,0.00010013642491118139,141.60194467176007,0.09112232161283015
9,1,6622945799,9.732304185439696e-05,289.46121202543674,0.19318936639230722
9,2,1278964777,9.037723251425223e-05,169.35503183989948,0.08835586172206258
9,3,2512209845,9.403732621719674e-05,174.95632711767811,0.4417867070757639
9,4,1272657712,0.0008494652368722319,122.61314075116123,0.1294684561178339
9,5,149609152,0.00011251120381123377,206.99460680186206,0.14132967711931266
9,6,149869198,0.00028179479133613267,583.4362728812517,0.20012470377763295
9,7,149609139,0.0007548313237864765,357.65298328422415,0.28231633905857534
9,8,6637735158,9.318213169128459e-05,1630.8472042648916,0.778878607897507
9,9,9335207337,0.0005283501200539951,inf,inf
10,0,149831304,9.943741094333126e-05,144.4325912910079,0.08957169594968789
10,1,6622945799,9.783967516075968e-05,211.0791591235663,0.14637029604123464
10,10,9335207337,0.0026667851037970895,inf,inf
10,2,1278964777,9.070358035737247e-05,165.67849715836883,0.08712156560092031
10,3,6622945800,9.480680493967846e-05,162.57228440752388,0.1310185299748393
10,4,1272657712,0.0008574745139139899,101.68363466655788,0.10657066130025249
10,5,149609152,0.00011309304574098629,174.88380937276858,0.1200544453527397
10,6,149869198,0.0002812603270442216,425.19171752055047,0.18749811761484977
10,7,149609139,0.0007507127724111473,216.00267090368382,0.17543170723279433
10,8,9335207319,9.338410962196316e-05,671.2847789288329,0.3571083817090526
10,9,5081068533,0.0005289470469402387,1395.835730896673,0.7634160145064697
11,0,149831304,9.875015033317187e-05,144.22640941491147,0.08668236360520547
11,1,6622945799,9.844592299666966e-05,171.5659398859042,0.11262641865308423
11,10,10613985277,0.002702827345556157,165.84972143608857,0.4645346338431876
11,11,9335207337,0.0018239686161858719,inf,inf
11,2,1278964777,9.104049696827358e-05,163.3759601004442,0.086364511507145
11,3,6622945800,9.537788301399686e-05,144.4344442519715,0.10407453603045795
