Junction ID, X, Y
9335207337, 6261.42, 3109.73
149860354, 6261.44, 3101.46
6637735125, 6261.37, 3136.18
149593168, 5474.02, 3357.81
1171792737, 5520.8, 3358.58
149593170, 5322.47, 3357.61
149593174, 5047.41, 3355.21
149593176, 4875.13, 3353.48
149515504, 4745.45, 3345.61
149593191, 4701.48, 3322.72
7848462348, 6261.36, 3143.93
149860358, 6261.33, 3160.1
149640707, 6261.56, 3197.84
8757059189, 6300.81, 3101.5
8775256605, 6275.78, 3101.48
6637735137, 6315.71, 3101.67
6637735136, 6334.52, 3101.74
149712496, 6375.71, 3101.89
150081060, 6489.84, 3102.5
10576342917, 6506.31, 3102.36
150075929, 6596.3, 3103.52
8171524965, 6673.63, 3104.28
149550233, 6723.91, 3104.77
9335207334, 6253.8, 3101.38
7848462351, 6246.3, 3101.3
7848462349, 6227.7, 3101.08
9571152417, 5695.93, 1281.13
9571152418, 5695.95, 1271.85
9571152419, 5690.63, 1271.85
9571152420, 5690.79, 1186.67
9571152424, 5672.21, 1271.82
9571152434, 5979.12, 1067.75
9571152436, 5996.37, 1096.08
8882806438, 5979.18, 1060.89
9571152437, 6016.13, 1073.64
9571152435, 5996.56, 1073.46
9571152595, 5912.26, 1042.53
9571152596, 5820.6, 1041.73
149687181, 5535.74, 3041.14
9651507805, 5571.49, 3041.17
6637735149, 6247.96, 3171.0
6637735148, 6247.61, 3159.95
9803146690, 2375.03, 3118.87
9803146679, 2375.88, 3061.87
1271333841, 2777.17, 1302.01
1271333963, 2895.78, 1290.64
9803567999, 3074.13, 1272.26
1271333880, 3114.78, 1267.11
9803568001, 3128.39, 1309.63
9803568000, 3129.51, 1319.89
8647078299, 3123.65, 1266.2
9803568005, 3141.46, 1318.63
9805433523, 4299.71, 1195.24
149869281, 4323.35, 1261.3
5081068252, 2727.54, 1155.86
5081068304, 2744.72, 500.38
7056505323, 2728.69, 1175.53
6985079172, 2728.78, 1176.62
9848502166, 3909.14, 1770.57
9848502165, 3897.13, 1759.86
9848502168, 3928.2, 1771.73
9848502172, 3897.77, 1802.78
9848502173, 3898.09, 1818.26
149912693, 4227.06, 1373.92
149869230, 4270.63, 1322.8
1764517583, 4215.43, 1387.59
1278964594, 4185.74, 1422.42
149893129, 4154.17, 1459.48
149893071, 4143.94, 1471.41
149824185, 4114.7, 1505.75
6669827287, 4113.16, 1507.53
6669786379, 4071.11, 1556.41
6985060931, 4052.08, 1578.6
149912694, 4043.82, 1588.13
149869235, 4319.59, 1324.66
9918533876, 2454.37, 3490.24
9918533872, 2409.84, 3501.96
9918533877, 2430.52, 3518.59
9918533878, 2467.39, 3500.36
149539141, 6074.05, 3594.75
6622945800, 6220.5, 3595.89
149539144, 5897.56, 3592.77
8186349585, 5877.97, 3592.8
8293234226, 5868.29, 3592.81
8293234222, 5833.13, 3592.86
8293234233, 5795.81, 3592.92
6649508107, 5780.4, 3592.94
8293234229, 5772.28, 3592.95
6649508094, 5734.82, 3592.93
9944289045, 5733.3, 3592.89
149628121, 5718.95, 3157.98
149628119, 5719.18, 3096.26
149628124, 5718.59, 3258.81
6132939734, 5718.37, 3318.45
8427751707, 5718.34, 3326.64
6132939738, 5718.2, 3365.21
149628127, 5718.0, 3420.58
149628129, 5717.98, 3425.12
8293211731, 5633.47, 3096.24
8293211741, 5611.87, 3096.22
1754696192, 5534.81, 3096.2
10088870714, 4162.63, 1572.73
10088870709, 4151.33, 1586.23
10088870712, 4178.04, 1586.31
10088870713, 4162.57, 1586.26
10094945384, 3338.96, 1170.27
10094945383, 3340.36, 1183.25
10094945387, 3357.96, 1181.4
10094945392, 3338.16, 1164.06
10094945388, 3323.88, 1149.07
10094945391, 3325.57, 1165.25
149593166, 5534.38, 3376.75
1261111634, 5535.19, 3237.1
10593405345, 5532.97, 3623.67
149539151, 5533.2, 3590.16
149755014, 5532.74, 3655.88
3633534012, 5532.55, 3686.4
3633144197, 5532.12, 3742.69
149623645, 5531.14, 3953.8
149962429, 5529.9, 4219.73
7686038674, 5528.33, 5484.85
149962437, 5528.28, 5496.73
7686038677, 5528.07, 5512.12
1374399817, 5526.37, 5638.11
10127762999, 5567.97, 3077.25
10127762998, 5535.13, 3077.3
10127763001, 5570.42, 3060.46
10127763000, 5535.42, 3060.46
10127763004, 5553.45, 3023.23
10127763002, 5536.08, 3006.01
10127763005, 5535.91, 3023.31
10127763007, 5569.78, 3029.76
150038256, 1544.94, 2312.49
149682791, 2011.17, 2288.41
150014012, 1314.55, 2144.35
149682807, 1935.11, 2176.42
1270475953, 3225.94, 2332.42
1270475957, 3425.78, 2311.59
1270475799, 3008.38, 2355.72
1270475885, 2799.11, 2377.9
1270475923, 2581.19, 2400.76
1270475943, 2348.91, 2425.0
1270475822, 2050.79, 2456.71
1270475899, 1782.61, 2494.27
1270475931, 637.94, 2419.31
10208692340, 6286.35, 2344.09
10208692366, 6287.01, 2313.02
10208692354, 6590.87, 2449.83
10208692364, 6591.73, 2410.44
10208692341, 6609.86, 2449.48
10208692348, 6610.98, 2414.08
10208692355, 6305.31, 2377.33
10208692336, 6306.54, 2310.34
150014001, 1345.43, 2037.36
1271333787, 1865.53, 2072.51
1271333702, 3577.58, 1452.17
1271333695, 3698.7, 1440.48
1271333935, 3358.12, 1474.83
1271333910, 3138.98, 1499.04
1271333862, 2737.92, 1788.26
1271333736, 2946.12, 1766.22
1271333821, 2762.07, 2024.11
1271333843, 2890.24, 2011.3
1271333783, 2544.63, 2047.09
1271333945, 2311.48, 2071.75
149682812, 1891.21, 2119.51
1271333675, 1937.85, 2705.69
1272638076, 1536.17, 2748.33
1271333930, 2075.83, 2692.32
1271333966, 2373.47, 2660.95
1271333889, 2605.86, 2636.29
1271333924, 2823.72, 2614.1
1271333750, 3032.56, 2590.61
8293239641, 3092.69, 2584.01
10706058159, 3136.31, 2579.22
1271333919, 3186.85, 2573.68
3755115730, 2066.66, 1779.91
3755115732, 2071.31, 1799.29
1271333784, 3333.66, 1243.36
1271333668, 3435.22, 1234.06
149904203, 1708.99, 1837.58
149641377, 1873.84, 1745.92
3755115702, 2030.36, 1733.18
1272637598, 3370.87, 1596.76
1272637946, 3589.59, 1569.35
1271333719, 3151.72, 1621.12
1271333770, 2933.26, 1643.92
1271333753, 3563.71, 1317.53
1271333902, 3345.66, 1357.31
1271333771, 3126.48, 1379.28
1271333687, 2908.15, 1402.92
1271333912, 2298.68, 1953.98
1271333679, 1850.04, 2000.59
1271333915, 2532.28, 1928.48
1271333825, 2750.33, 1906.33
1271333739, 1906.63, 2592.25
1271333888, 649.15, 2523.18
1271333822, 2063.2, 2574.87
1271333905, 2361.34, 2542.69
1271333950, 2593.58, 2519.31
1271333955, 2811.57, 2496.1
1271333890, 3020.5, 2474.24
10917528574, 3223.63, 2452.53
1271333710, 3238.31, 2450.96
1271333898, 1836.62, 1872.06
1271333693, 1753.11, 1880.75
1271333681, 2092.91, 1844.79
1271333853, 2228.38, 1831.67
1271333721, 3383.44, 1714.65
1271333941, 3620.28, 1689.31
1272638074, 3640.58, 2320.61
1272637814, 3442.58, 2320.82
1272637672, 3836.78, 2320.39
1272637821, 3089.86, 1028.29
1272637712, 2870.7, 1050.7
1272637804, 3309.01, 1005.18
1272637689, 3488.12, 986.12
1272637863, 2835.62, 2728.72
1272637507, 3045.46, 2706.82
1272637915, 2617.82, 2751.67
1272637521, 2385.23, 2775.27
1272637993, 2087.69, 2807.24
1272637500, 1974.83, 2819.09
1272637770, 1983.08, 2876.12
1272637736, 3212.28, 2869.23
1272638178, 2954.42, 2861.04
1278964821, 3440.32, 2871.26
1278964648, 3636.79, 2871.03
1278964781, 3835.17, 2871.33
2200885683, 1990.76, 3381.86
1272637945, 2145.98, 3365.26
1272638001, 1750.7, 3407.3
1272638005, 1608.72, 3423.79
1272637778, 1835.19, 3573.96
1272637706, 1859.65, 3493.1
1272637536, 1629.36, 3614.67
1272637607, 2641.65, 2976.6
1272637660, 2859.37, 2953.96
1272637600, 2409.37, 3000.85
1272637824, 2111.36, 3032.7
149682537, 2003.27, 3040.56
1272637670, 3321.01, 1121.57
1272637800, 3420.91, 1111.62
1272638171, 3101.98, 1144.48
1272637566, 2883.02, 1166.4
1272637732, 3836.74, 2413.02
1272637576, 3891.06, 2413.21
1272638137, 3640.4, 2413.25
1272638149, 3442.39, 2411.91
149869297, 3571.32, 1392.36
149869293, 3679.98, 1381.06
149641007, 3351.87, 1415.06
149869299, 3132.71, 1438.9
149869301, 2914.89, 1462.58
1623983723, 2844.65, 1469.72
149869305, 2705.04, 1483.78
1623983701, 2534.37, 1505.14
1272637970, 1785.29, 3502.38
1272637739, 1619.23, 3520.92
1272637635, 1912.67, 3487.16
1272638004, 2556.43, 2164.55
1272637515, 2324.05, 2190.5
1272637999, 2774.47, 2143.46
1272637924, 2983.47, 2119.73
1272638027, 3201.36, 2096.87
149641041, 3421.99, 2072.74
1272637628, 3189.17, 1980.02
1272637499, 3408.79, 1955.38
149637226, 3339.26, 1297.66
149637223, 3522.12, 1280.01
149637234, 3120.39, 1320.86
149637237, 2901.6, 1344.85
1272638141, 1867.2, 3685.87
1272637653, 1639.71, 3710.46
1272637493, 2099.17, 2919.58
149682519, 2029.32, 2928.55
1272638042, 2397.49, 2890.0
1272637720, 2629.52, 2864.01
1272637537, 2847.75, 2842.32
149840120, 2979.83, 2833.66
1272637875, 3759.26, 1083.63
1272638128, 3980.18, 1060.92
1272637973, 3540.59, 1106.66
1272637981, 3772.03, 1199.48
1272637644, 3960.51, 1180.43
150093232, 3566.43, 1220.5
1272637652, 3783.72, 1311.29
1272637841, 3720.36, 1317.82
1272637880, 3939.32, 1295.23
1272638164, 3183.68, 2671.13
1272637907, 3051.89, 2822.7
8293239629, 3222.76, 2624.13
8293239638, 3233.17, 2611.61
1272637604, 3311.42, 2517.49
149637574, 3442.51, 2365.23
1272637557, 1819.2, 3290.4
1272637773, 1596.89, 3314.35
1272637562, 2135.03, 3257.65
1272637700, 2432.4, 3227.0
149600489, 2631.51, 3217.77
1272637767, 1937.71, 1269.29
1272638161, 2045.19, 1257.24
1272637855, 3796.06, 1429.39
1272637636, 3934.76, 1414.99
1272638009, 1925.48, 1149.67
8189647514, 2032.72, 1137.01
1272637610, 1818.38, 1160.9
1272637787, 1320.04, 1213.15
150038240, 1679.09, 1991.59
1272637624, 1847.25, 1974.55
1272637617, 1858.03, 3174.21
1272637982, 1669.19, 3187.89
1272637871, 2123.4, 3144.55
1272637601, 2421.14, 3114.17
1272637685, 2653.65, 3089.45
8293502353, 2723.35, 3082.79
8293502354, 2734.1, 3081.75
149912726, 2750.92, 3080.11
1272637847, 3176.82, 1861.67
1272638016, 3396.81, 1841.69
1272637656, 2958.76, 1884.16
149839865, 2942.58, 3158.33
149839862, 2945.45, 3087.16
149722310, 2943.7, 3248.62
149839878, 2942.82, 3607.39
1279856782, 2942.95, 3562.3
149839882, 2942.45, 3697.81
149839884, 2942.18, 3787.56
149539079, 2942.11, 3877.42
1279857003, 2943.47, 3292.94
149600451, 2943.33, 3338.48
1279856756, 2943.06, 3382.21
10758357879, 2942.89, 3408.54
149839871, 2942.77, 3427.67
1279856759, 2942.91, 3471.74
149597332, 2943.08, 3518.42
1272637976, 3213.7, 2215.06
1272637580, 3434.05, 2192.9
1272637494, 2996.13, 2238.17
1272637854, 2786.93, 2261.18
1272637622, 2568.91, 2283.23
1272637894, 2336.26, 2305.83
149682782, 1997.28, 2342.65
1272638069, 1805.77, 1043.17
1272637772, 1590.07, 1064.77
1272637790, 1912.8, 1029.99
1272638105, 2019.55, 1018.5
1272638010, 2127.1, 1008.66
1272637844, 2233.07, 996.56
1272657692, 4128.43, 1639.71
1272657741, 4044.21, 1639.68
1272657688, 4318.39, 1639.98
1272657727, 4508.43, 1641.57
1272657724, 4707.3, 1641.63
1272657696, 4873.46, 1641.81
1272657713, 4919.81, 1642.17
1272657687, 4127.71, 1745.29
1272657693, 4023.72, 1746.11
1272657712, 4318.5, 1747.12
1272657690, 4508.86, 1747.93
10231025941, 4672.82, 3439.05
10231025938, 4653.38, 3439.01
1449171729, 5725.25, 1439.25
1278964717, 5907.29, 1441.59
