Junction ID, X, Y
9532292776, 397.32, 1266.35
9532292777, 364.21, 1266.61
5668224861, 2212.63, 1585.24
4486235547, 2184.29, 1585.31
5674710043, 1839.66, 1640.85
5674710047, 1893.64, 1640.6
5674710044, 1801.71, 1641.09
5674710046, 1820.49, 1769.46
5674710045, 1802.8, 1751.75
10114247525, 1848.7, 1769.36
10114247527, 1868.91, 1769.28
5674710055, 1893.8, 1769.18
6886094431, 1986.42, 1720.57
6886094430, 1986.41, 1791.15
10114247524, 1849.28, 1797.76
10114247526, 1868.87, 1797.76
5668224860, 2212.35, 1550.04
5755376406, 653.43, 1667.93
5755376405, 653.33, 1621.17
10270776422, 2116.86, 1624.15
5668224893, 2080.9, 1678.12
10270776421, 2130.27, 1624.12
10270776452, 2163.39, 1378.97
10270776451, 2163.05, 1408.75
5661425112, 552.11, 1515.66
10270805516, 496.79, 1516.33
11536743530, 441.66, 1064.98
11536743523, 441.64, 1036.63
1555022101, 2186.92, 962.98
1555022100, 2201.22, 941.16
1910498577, 835.25, 1852.38
1910498554, 716.55, 1802.87
1910498579, 875.11, 1872.48
1910498540, 762.28, 1740.76
1910498574, 904.85, 1804.97
41511272, 807.96, 1903.62
1916457521, 1325.48, 1504.34
1916457460, 1325.62, 1518.05
1916457455, 1143.2, 1497.82
340244758, 1144.03, 1518.19
41954039, 2451.63, 1584.4
2053856721, 2447.57, 1584.42
7148450929, 2476.39, 1584.34
4347495382, 3484.15, 1582.46
2053856722, 2434.33, 1584.37
41596678, 2293.02, 1584.92
7049355215, 2359.95, 1584.66
1636768221, 2429.84, 1584.38
2262867795, 230.25, 1197.45
2262867807, 188.73, 1295.15
6888729469, 356.34, 1311.07
2262867812, 246.79, 1312.44
2262867808, 78.44, 1296.55
10241726133, 80.69, 1140.04
2262867784, 305.46, 1128.84
2262867827, 371.69, 1380.14
2262867820, 304.61, 1349.48
2262867779, 288.01, 1064.8
2262867774, 286.92, 991.74
41419656, 221.6, 1305.55
42212963, 1519.57, 1771.98
41868380, 1377.59, 1752.07
41542379, 1674.8, 1752.93
3216077824, 284.5, 1840.67
3216077827, 284.14, 1857.96
7668462397, 240.08, 2102.3
2262867876, 399.03, 2098.51
7668462398, 225.89, 2102.1
7668462399, 214.9, 2102.34
2262867891, 160.09, 2237.85
41523441, 635.59, 2185.69
3230969908, 446.44, 2273.73
41814043, 781.01, 2085.95
4854483352, 884.8, 1961.09
41879794, 891.4, 1949.11
42201685, 964.71, 1773.58
8507860334, 972.04, 1639.23
41511275, 778.82, 1957.12
41511283, 599.56, 2073.86
41511284, 561.34, 2090.06
41511287, 475.16, 2104.26
10241668084, 914.78, 1759.41
338518603, 921.83, 1646.52
338518445, 913.31, 1768.23
338518604, 847.71, 1646.05
1910498530, 828.96, 1688.89
2139420804, 419.35, 1841.63
3230970585, 427.1, 1841.66
41879808, 375.23, 1840.85
41879818, 0.0, 1774.65
371677722, 683.85, 1356.37
371677831, 707.52, 1317.22
371677839, 660.97, 1393.93
2139420738, 972.22, 1571.88
41935889, 972.05, 1589.32
42201708, 993.02, 1454.14
41804743, 1204.86, 1264.01
41578195, 1631.13, 1418.94
42233694, 1564.0, 1314.49
41542411, 1714.89, 1434.78
41627127, 1760.03, 1440.11
371827249, 1274.76, 1517.94
2139420741, 1274.4, 1573.43
371827663, 1234.37, 1461.8
371827460, 1234.01, 1518.01
3643232168, 2454.18, 876.05
41699041, 2452.78, 783.84
3705285574, 279.83, 1488.14
3705285578, 280.46, 1541.25
3705285570, 279.44, 1450.44
3705285568, 391.55, 1447.96
3705285572, 373.25, 1485.58
3705285567, 426.36, 1447.27
3705285575, 353.51, 1505.51
3705285579, 353.87, 1540.94
3705285573, 353.31, 1486.09
3705285571, 391.25, 1485.12
3705285584, 235.33, 1572.85
3705285585, 235.47, 1590.42
339664276, 1225.99, 1740.59
3820084277, 1225.75, 1758.06
3820084281, 1143.74, 2112.28
3820084280, 1145.27, 2077.07
41578152, 1432.96, 1518.29
41578148, 1037.18, 1480.84
3820088134, 790.68, 1234.87
41581523, 775.69, 1249.88
2262867781, 71.75, 1065.94
3823414791, 264.61, 2033.18
3823414790, 264.38, 2057.54
371160847, 321.56, 2032.86
3823414792, 321.97, 2058.6
371160842, 378.85, 1995.09
3823414793, 380.0, 2057.71
371160848, 293.52, 2033.01
3823414794, 293.33, 2009.51
3823414796, 235.92, 2033.34
3823414795, 235.96, 2011.47
42280168, 2041.4, 880.02
4347633551, 2025.92, 880.27
4347633586, 1839.79, 1594.13
4347633573, 1839.03, 1575.05
371825475, 2044.94, 1384.9
4347633560, 2029.78, 1384.64
41540976, 2046.65, 1787.75
4347678601, 2034.5, 1787.87
7672095362, 528.15, 1754.42
4486122999, 537.25, 1763.4
5755376399, 511.8, 1738.31
4486123002, 492.9, 1730.44
4486123003, 478.77, 1730.27
4347708033, 446.87, 1729.91
5755376404, 638.25, 1621.53
4486123008, 638.27, 1667.81
4347586497, 638.25, 1593.4
8552981064, 2532.38, 1122.84
4607143870, 2635.22, 1123.36
8552981061, 2488.12, 1122.52
4607143857, 2415.98, 1032.89
7578788228, 1999.99, 1499.33
4848195934, 2002.86, 1493.25
7578788226, 1972.07, 1540.27
7578788266, 1943.31, 1540.25
4848195929, 1934.94, 1540.25
4848195935, 1949.48, 1467.08
4848195932, 2030.9, 1496.77
7578788224, 1958.71, 1409.98
4848195937, 1958.91, 1389.34
4848195936, 1958.42, 1460.79
4848195950, 1934.64, 1468.62
4848195940, 1821.13, 1519.61
4848195941, 1821.22, 1554.49
4848195939, 1821.4, 1468.77
4848195942, 1802.46, 1519.84
4848195952, 1839.42, 1519.38
7578788209, 1856.73, 1519.15
4848195943, 1802.06, 1469.03
4848195951, 1840.01, 1468.48
7578788206, 1856.98, 1468.5
7578788211, 1876.25, 1468.53
7578788213, 1896.35, 1468.56
7578788215, 1915.11, 1468.6
4848195946, 1802.01, 1462.81
4848195945, 1774.45, 1434.07
4848195948, 1779.79, 1542.76
4347678606, 2037.26, 1986.68
41540978, 2047.78, 1986.66
5204052863, 1505.15, 1530.87
2139420751, 1505.78, 1573.86
41935897, 1505.68, 1592.28
41580520, 1063.42, 1069.9
5204052864, 1088.65, 1107.46
5204052865, 1045.51, 1041.87
5716818315, 1034.23, 1024.33
5204052866, 1028.8, 1016.0
5716818320, 996.64, 952.67
7131950876, 988.31, 907.97
5204052867, 978.28, 838.23
41804770, 847.19, 480.29
3230970583, 427.53, 1995.19
3230969907, 446.63, 1995.79
41511309, 1840.21, 1961.57
41511292, 1539.0, 2165.1
41511318, 1227.04, 2115.84
2012647717, 1466.86, 2139.8
41511322, 1090.38, 2109.76
41516717, 1313.74, 2033.46
41516716, 1310.71, 1985.57
41523447, 496.03, 1248.11
41523445, 494.59, 1167.0
41523453, 496.68, 1330.81
41523462, 571.36, 1073.36
41523460, 572.86, 1162.41
41523464, 571.56, 997.81
41523472, 583.74, 1992.88
41523477, 584.64, 1903.8
41523479, 583.34, 1840.99
41533404, 375.51, 1673.85
41533402, 98.02, 1641.86
10270798135, 1503.26, 1637.45
41533422, 1378.68, 1637.47
41533423, 1508.8, 1637.45
41533426, 1578.84, 1637.57
41533429, 1757.0, 1636.98
41533440, 1238.47, 1660.7
41533434, 1027.62, 1645.86
41533448, 1301.37, 1661.41
41542372, 1765.7, 1257.26
41542366, 1737.14, 1180.33
41542381, 1675.95, 1694.07
41542409, 1712.57, 1515.33
41542419, 1745.65, 938.51
41542418, 1744.86, 1043.5
41573520, 366.91, 911.61
41573517, 42.95, 906.27
3216924144, 421.64, 911.27
41573533, 1152.48, 910.57
41573531, 1047.08, 908.97
41573537, 1328.13, 911.37
41573541, 1543.22, 912.27
41573548, 1872.71, 941.51
41573546, 1963.73, 942.43
41573550, 1632.22, 942.58
41575615, 1451.12, 2217.47
41575609, 1076.52, 2176.66
41575637, 1908.75, 2042.94
41575641, 1915.45, 1979.28
41575643, 1926.23, 1928.31
41578202, 1899.84, 1245.08
41578204, 1966.16, 1246.16
41578212, 1344.27, 1414.82
3216924496, 442.39, 1167.45
3216924497, 423.58, 1167.43
41580509, 795.7, 1151.91
41580511, 877.91, 1152.63
371679511, 948.83, 1140.14
7131951038, 1014.54, 1101.47
41580521, 1112.81, 1038.08
4347633556, 2026.88, 1155.19
41580579, 1898.39, 1161.59
41581430, 1644.84, 1229.57
41581423, 1441.1, 1332.94
41581521, 1057.19, 1180.87
41581520, 880.3, 1241.9
41585256, 2191.19, 2034.96
41585254, 2242.05, 2007.45
41585259, 2109.12, 2043.46
41585262, 2309.96, 1956.64
41585261, 2397.36, 1896.26
41596676, 2292.96, 1651.47
41596672, 2330.71, 1803.42
41596696, 2356.99, 2026.13
41596694, 2405.77, 2093.13
41596699, 2278.91, 1913.63
41615329, 1238.31, 1590.73
2139420758, 1762.4, 1574.54
41644115, 475.94, 1999.29
41662006, 1889.38, 1030.44
41662021, 1757.05, 1694.59
41662023, 1751.38, 1736.43
41662034, 1758.32, 1910.53
41662032, 1754.72, 1960.65
41662036, 1756.72, 1807.16
41662040, 1871.23, 853.24
41671528, 1406.59, 2039.71
41671527, 1408.12, 1978.46
41676470, 1556.84, 2095.77
41676469, 1576.15, 2010.55
41715117, 794.44, 1398.45
41735772, 1490.95, 1372.31
41736305, 2276.68, 1821.78
41736308, 2107.71, 1823.32
41736459, 2107.42, 1786.72
41751268, 374.57, 1757.36
41604285, 74.61, 1712.82
41751288, 1518.95, 1693.26
41751286, 1378.74, 1694.0
41751293, 1578.48, 1694.04
41751331, 1130.14, 1726.95
41751330, 1027.06, 1726.52
41751335, 1300.31, 1740.17
41758306, 2551.67, 1810.24
41758305, 2497.83, 1872.88
41765696, 1967.6, 1328.05
41782015, 1129.3, 1856.78
41782009, 1202.24, 1906.9
41782028, 1361.38, 1824.55
41782023, 1258.11, 1900.11
41784229, 2100.23, 1153.88
41580580, 2043.36, 1155.12
41784235, 2346.61, 1087.57
340267810, 1451.99, 1415.32
41804740, 1367.82, 1361.34
41804746, 1150.31, 1204.93
9839638928, 864.54, 2387.76
41819648, 792.93, 997.79
41819669, 1542.77, 995.37
41819666, 1189.68, 1008.37
41845651, 1633.27, 1180.35
41845653, 1632.24, 1048.34
41845655, 1636.73, 1009.34
41848344, 1131.2, 1762.3
41858729, 2457.6, 1948.29
41858726, 2515.28, 2030.95
41868315, 1393.84, 1158.99
41868307, 1340.78, 1276.47
41868361, 1409.01, 1941.09
41868360, 1412.55, 1829.72
41804736, 1378.79, 1591.54
41868400, 1328.95, 828.9
41879753, 1977.83, 1986.75
5755376396, 537.15, 1841.22
5102796603, 531.57, 1841.24
41879773, 1501.72, 1993.63
41879782, 1226.27, 2001.08
41879786, 1092.85, 2017.5
41881243, 2246.29, 1339.64
41881239, 2101.8, 1317.96
41881251, 2363.31, 1381.42
41900034, 375.22, 1940.25
371160444, 48.41, 1934.89
41900048, 1657.02, 2033.77
41900043, 1754.55, 2041.76
41900058, 475.11, 1895.13
41908223, 1867.32, 1850.83
41908217, 1855.8, 1912.15
41908237, 1987.13, 1848.31
41908235, 1986.99, 1932.6
41909238, 1045.63, 826.28
41909247, 1151.64, 1099.01
41909253, 1197.4, 1171.58
4854483351, 1092.59, 2027.2
4854483353, 1090.15, 2113.18
41548152, 1017.05, 2335.36
41990337, 1723.78, 807.95
41990333, 1723.04, 850.27
42008916, 1272.12, 1954.86
42008920, 1251.28, 1844.49
42013282, 2708.12, 2026.2
42013294, 2408.68, 1651.5
42029642, 2247.18, 1741.01
42029640, 2107.02, 1743.29
42032644, 1213.65, 1076.05
42032649, 1543.46, 1077.42
42032766, 794.29, 1073.99
42032818, 1966.07, 1029.05
42033801, 1187.23, 828.56
42033812, 1542.64, 827.96
42033843, 227.73, 833.86
42033835, 48.6, 841.68
42033845, 367.33, 832.01
42033859, 1627.83, 853.59
42033862, 1829.68, 852.76
42033876, 1989.4, 842.78
