Step,Vehicle_ID,RSU_ID,Signal_Strength,Expected_Connection_Time
0,0,4486462975,0.022299331085932964,10
1,0,4347633568,0.05461824727487397,10
1,1,41735772,0.015401011698674826,10
2,0,4347633568,0.06486028240319842,10
2,1,41735772,0.08121369348074504,10
2,2,41596696,0.015820118649752784,10
3,0,4347633568,0.07322802502850924,10
3,1,41735772,0.08132771395221898,10
3,2,41585262,0.015277110863233693,10
3,3,42306548,0.014651749460592712,10
4,0,4347633568,0.08378976938194864,10
4,1,41735772,0.07306797679201664,10
4,2,41585262,0.017128896846107165,10
4,3,42306548,0.07966962404531654,10
4,4,41954039,0.018563203532314557,10
5,0,4347633568,0.058986115204766855,10
5,1,41735772,0.05799578171771781,10
5,2,41585262,0.02001595353592165,10
5,3,42306548,0.07366987030541773,10
5,4,41954039,0.08057017790018912,10
5,5,41881243,0.01643655722808709,10
6,0,7578788228,0.04026630962659589,10
6,1,41735772,0.04588091322590511,10
6,2,41585262,0.02665607923546091,10
6,3,42306548,0.06029060886295136,10
6,4,7148450929,0.09046897989044234,10
6,5,10270776452,0.011834378811863154,10
6,6,41511275,0.015994682399841344,10
7,0,7578788228,0.09696005108233474,10
7,1,41735772,0.03257822479725967,10
7,2,41585262,0.039162128802497864,10
7,3,42306548,0.046404748377853355,10
7,4,7148450929,0.1244889104987666,10
7,5,10270776452,0.011963675105023198,10
7,6,41511275,0.07881289763281442,10
7,7,5143202598,0.03515266273035152,10
8,0,4848195934,0.23141282281690956,10
8,1,41735772,0.02309421796539749,10
8,2,41585262,0.06474373401546574,10
8,3,42306548,0.03554367427769642,10
8,4,7148450929,0.1108891750431281,10
8,5,10270776452,0.012058858753377106,10
8,6,41511275,0.07393148648049364,10
8,7,5143202598,0.103763659003405,10
8,8,41900048,0.03603092447154971,10
9,0,7578788217,0.11694774866575529,10
9,1,41735772,0.0217544241951116,10
9,2,41585262,0.09561139610914361,10
9,3,42306548,0.025670025883436847,10
9,4,7148450929,0.06586541720219628,10
9,5,10270776452,0.011971126321253652,10
9,6,41511275,0.06299930580198007,10
9,7,5143202598,0.06463019399984128,10
9,8,41900048,0.022607170011379466,10
9,9,41881239,0.023118412305550225,10
10,0,7578788222,0.04711199156795329,10
10,1,41735772,0.01726566696385274,10
10,10,41516716,0.015669628523349997,10
10,2,41585262,0.05995497393476712,10
10,3,42306548,0.020177623030946758,10
10,4,7148450929,0.03918714590808923,10
10,5,10270776452,0.011600287757429122,10
10,6,41511275,0.051439866096269375,10
10,7,5143202598,0.04966599514547702,10
10,8,41900048,0.012757792469909102,10
10,9,41881239,0.09084989427281613,10
11,0,7578788284,0.05932570357845155,10
11,1,41735772,0.015252293758355788,10
11,10,41516716,0.07078241909012241,10
11,11,41782015,0.014972225958649082,10
11,2,41596699,0.029659963181717004,10
11,3,42306548,0.016412434089004294,10
11,4,7891532531,0.05273623180083134,10
11,5,10270776452,0.01177566294737359,10
11,6,41511275,0.03950309924724425,10
11,7,6888729473,0.044671780186573605,10
11,8,41900043,0.012473292429631619,10
11,9,41881239,0.06611107525534121,10
12,0,7578788223,0.03816264275310208,10
12,1,41735772,0.01383193498002004,10
12,10,41516716,0.05614703857609957,10
12,11,41782015,0.07279261991203578,10
12,12,42520085,0.0158835827427562,10
12,2,41596699,0.04455306764005917,10
12,3,42306548,0.014076504463507377,10
12,4,7891532531,0.07722531301015419,10
12,5,41881243,0.014718704921550712,10
12,6,41511275,0.030080295851373066,10
12,7,6888729473,0.056303535506527294,10
12,8,41900043,0.012961440116736297,10
12,9,41881239,0.047210124924461104,10
13,0,4347633560,0.03898129666319237,10
13,1,5204052863,0.012733198509849334,10
13,10,41516716,0.042104693872155326,10
13,11,41782015,0.06617565743835872,10
13,12,4347678604,0.017043824324350667,10
13,13,41533423,0.05929530806764192,10
13,2,41596699,0.07579465278171661,10
13,3,42306548,0.012069982632461658,10
13,4,7891532531,0.04229993420538826,10
13,5,41881243,0.013102851081235472,10
13,6,41511275,0.022540006813473443,10
13,7,6888729473,0.06179376965808887,10
13,8,41900043,0.014309148587854766,10
13,9,41881239,0.03420310975838656,10
14,0,4347633560,0.07395318934899797,10
14,1,5204052863,0.015189436493410542,10
14,10,42008916,0.041738472247646645,10
14,11,41782015,0.0514214497701634,10
14,12,4347678604,0.017758378921811063,10
14,13,10270798135,0.30027942746115255,10
14,14,41990333,0.015925983240643447,10
14,2,41596699,0.09840239127483481,10
14,3,42306548,0.01061952973195328,10
14,4,7891532531,0.024304003106034557,10
14,5,41881243,0.012013240482818842,10
14,6,41511275,0.018587006929762694,10
14,7,4486123003,0.039614433085342765,10
14,8,41900043,0.016488456578956475,10
14,9,41881239,0.02573476116991709,10
15,0,4347633560,0.28529643350943196,10
15,1,5204052863,0.018483131390134962,10
15,10,42008916,0.04753640289236561,10
15,11,41782015,0.03885397355333062,10
15,12,4347678604,0.01841535246238159,10
15,13,10270798135,0.09845423563028245,10
15,14,41990333,0.06276567235471754,10
15,15,41879782,0.014161247499475385,10
15,2,41596699,0.06043794679891008,10
15,3,42306548,0.00949861862793167,10
15,4,7891532526,0.01979005715869009,10
15,5,42500300,0.011049449740099205,10
15,6,1910498577,0.017104337375022767,10
15,7,4486123003,0.10364833791301079,10
15,8,41900043,0.01936516716829657,10
15,9,41881239,0.0214033131888081,10
16,0,4347633560,0.08335973567736293,10
16,1,5204052863,0.023509151269207485,10
16,10,42008916,0.043130980092507716,10
16,11,41782015,0.02954799383760418,10
16,12,41736308,0.018081003856130175,10
16,13,41935897,0.025096270578002927,10
16,14,41990333,0.04798029908263345,10
16,15,41879782,0.06462920830931634,10
16,16,2139420773,0.03782973975098096,10
16,2,41596699,0.08947480520152479,10
16,3,42306548,0.008539518110765832,10
16,4,7891532526,0.020440305069892757,10
16,5,10270776452,0.012585439897622872,10
16,6,1910498577,0.016558922688366867,10
16,7,4486123003,0.07954951591082747,10
16,8,41900043,0.0232831956814104,10
16,9,10270776452,0.020551349384369463,10
17,0,371825475,0.07382307353571811,10
17,1,5204052863,0.023414392901816683,10
17,10,42008916,0.03156311293754452,10
17,11,42598330,0.053957812393997176,10
17,12,41736308,0.020955476346541033,10
17,13,41935897,0.028295662645837508,10
17,14,41990333,0.03554173287725572,10
17,15,41879782,0.054553762855101655,10
17,16,2139420773,0.07980042325045979,10
17,17,371160849,0.015966662464885834,10
17,2,41596699,0.2548316020172489,10
17,3,42306548,0.007860782243294805,10
17,4,7891532526,0.01726672052957651,10
17,5,41881239,0.02063342121489114,10
17,6,1910498577,0.01490579156540721,10
17,7,5755394177,0.04231840726589986,10
17,8,41900043,0.029437891827585494,10
17,9,10270776452,0.02191916132075389,10
18,0,371825475,0.04736668938152825,10
18,1,5204052863,0.024253333335953264,10
18,10,8480431623,0.04004716356932063,10
18,11,42598330,0.09702675844178828,10
18,12,41736308,0.024998859345726657,10
18,13,41935897,0.03320548339968197,10
18,14,41990333,0.026092017835461584,10
18,15,41879782,0.042252014560523486,10
18,16,2139420773,0.08006059250172272,10
18,17,371160849,0.06421878618202954,10
18,18,41782023,0.015036426527335467,10
18,2,41596699,0.17986896668938882,10
18,3,42306548,0.007211417770662502,10
18,4,7891532526,0.01318677250568801,10
18,5,41881239,0.024862520399519694,10
18,6,1910498554,0.013333691215366095,10
18,7,5755376401,0.028834769922477715,10
18,8,41900043,0.038064029524842745,10
18,9,10270776452,0.02157689122472974,10
19,0,371825475,0.0321040401146229,10
19,1,2139420751,0.020383109654384418,10
19,10,8480431623,0.037998796154347154,10
19,11,41782015,0.02108987829086201,10
19,12,41736308,0.031306266637268855,10
19,13,41935897,0.04131850169957636,10
19,14,41990333,0.02068510988158236,10
19,15,8480431623,0.032506171973964465,10
19,16,2139420773,0.08006059250172272,10
19,17,371160849,0.04653910762489272,10
19,18,42008920,0.024055108721114105,10
19,19,41879773,0.015787095341076827,10
